,Schwyz,Geneve,Solothurn,Basel-Landschaft,Freiburg,Appenzell-Innerrhoden,Luzern,Zug,Aargau,Schaffhausen,Zurich,Jura,Neuchatel,Obwalden,Glarus,Uri,Appenzell-Auserrhoden,Thurgau,Nidwalden,Ticino,Basel-Stadt,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-04-11,158558,119093,309080,218763,159286,1363,271439,162339,497929,7453,555953,6396,64681,10544,61419,52195,11102,150937,73677,145610,126792,445962,75849,382248,516746,125384
2019-04-12,176351,129573,328750,237803,184353,1493,287261,168463,521799,9100,583624,7506,69314,11264,75995,68008,12376,160501,82896,155709,137200,485112,95949,430174,570457,150725
2019-04-13,160486,115191,303115,217938,166343,1482,255335,144518,463804,9596,520015,6666,59186,10449,73387,68109,10707,143404,80717,136732,128963,423878,93687,377359,504624,144619
2019-04-14,126624,100655,245314,162912,135048,1302,187860,109122,366665,10425,409383,5611,43589,8850,63522,65204,9444,111812,63298,116832,100480,337044,76043,302963,407112,112046
2019-04-15,163801,114006,298839,216902,162777,1211,282473,167145,484823,7441,542141,6608,61439,11307,63753,56752,10512,142565,79277,141610,125924,447476,82562,375942,515249,129022
2019-04-16,170178,114594,321866,230688,169393,1372,288393,168804,513166,7803,573866,6860,64511,11047,64326,52837,11746,157274,78186,149767,130872,484488,80520,403027,522527,137860
2019-04-17,186044,124111,347362,248147,185802,1398,310208,177800,543989,9440,600841,7479,72123,11820,75799,71136,12330,166782,90139,168395,141109,506489,96580,441871,567752,152456
2019-04-18,177714,116189,291932,203958,171555,1396,265126,154385,457085,9078,524448,7127,62241,11060,80405,70677,10329,148748,80867,149192,114487,429977,103546,418488,519777,151187
2019-04-19,175166,121461,301105,203882,178649,2166,233568,135630,429164,14352,478419,7844,54817,12422,93908,90575,12547,138839,80268,176037,125320,411234,119478,411663,513871,181531
2019-04-20,158205,107549,298687,197812,168536,1984,250879,133787,431444,11622,472974,7089,62463,11081,72795,66203,11221,138483,82928,138331,118409,438898,95892,373828,490787,140484
2019-04-21,160742,103386,297591,184959,163418,2343,226508,131226,434689,12057,476564,6879,55121,12745,84053,59125,12934,139620,75403,124925,109095,426355,100448,374627,461277,125957
2019-04-22,167702,115735,292317,196525,182594,2095,237057,132441,422388,13359,459730,7899,56841,12345,90159,67287,11784,141656,80427,145961,123252,418995,113214,389248,476225,152117
2019-04-23,176082,119504,327278,233180,174737,1261,291142,165618,506892,9161,555394,6877,66000,11356,73289,65030,11234,155852,85611,164976,135083,478591,96992,425492,529750,138363
2019-04-24,171346,116590,326141,229448,174529,1457,282134,166042,513137,8563,565033,7021,67883,11257,69457,50515,12180,161376,76320,147624,130923,485458,91630,425343,524781,132835
2019-04-25,176872,121717,342736,244062,181571,1390,297185,174410,535888,9441,584089,6932,67399,11919,69774,63507,12337,166494,83878,152142,142198,501562,87631,430374,549162,136820
2019-04-26,182810,129488,351364,252451,190975,1455,307535,175056,544200,9486,585812,8026,70550,11748,74451,76429,12322,167462,89135,165998,146007,528683,93397,452531,575678,147120
2019-04-27,171872,116319,328095,222113,167727,1664,276120,154012,501915,10655,541500,6833,66443,10370,72396,82926,11989,153568,85846,157705,129568,474888,92147,405495,504695,125364
2019-04-28,140825,102213,274501,177071,140922,1664,221713,126388,406203,10538,443497,5770,47810,9262,63086,79702,10676,127466,71898,139065,107211,386410,74782,332563,399661,98931
