,Solothurn,Basel-Landschaft,Schwyz,Aargau,Ticino,Schaffhausen,Uri,Freiburg,Luzern,Geneve,Zug,Jura,Obwalden,Thurgau,Glarus,Basel-Stadt,Appenzell-Ausserrhoden,Nidwalden,Zurich,Appenzell-Innerrhoden,Neuchatel,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-02-28,1292699,1135729,632158,2270415,955676,244640,125196,972916,1274710,1632318,594094,186742,96576,882471,190972,955050,192352,193205,4611496,39773.0,478949,3356834,691676,1879803,2496745,1116658
2019-03-01,1279297,1111650,639136,2264492,1009822,242631,140425,988240,1168289,1611422,576037,188111,96615,881566,222206,912313,182285,191507,4439128,35722.0,286354,3319496,716209,1923891,2461167,1091601
2019-03-02,1071990,846189,603981,1897388,757189,204939,135607,815862,1086902,1176688,462148,152622,97524,755755,230605,646784,155394,189385,3547447,36638.0,361908,2829642,829377,1717823,2125124,1115641
2019-03-03,860527,646309,566289,1406882,585934,155911,135274,661089,862501,906745,383410,124731,91667,586688,213249,459196,144500,167683,2705717,36496.0,281056,2232892,717014,1461043,1706553,895695
2019-03-04,1144029,933448,538584,2054692,786302,219512,104500,797049,1122475,1568729,529066,163804,76723,796544,160367,771842,170271,160706,4233131,31318.0,471393,3008054,604904,1656767,2438686,814132
2019-03-05,1209304,982479,572410,2162186,817480,232632,113021,849791,1184153,1669556,551185,176524,87866,838848,163026,820463,179634,176160,4481058,33776.0,503491,3211937,653687,1719449,2604548,962105
2019-03-06,1244983,994492,607544,2231043,782078,242493,113719,871797,1192292,1684512,581130,179185,94541,872869,175025,830278,187761,190118,4605535,36163.0,518381,3289772,643300,1801843,2653275,944876
2019-03-07,1203311,965113,587626,2159644,749485,236064,113548,824088,1139105,1659440,568297,172664,87654,845845,169262,816341,180304,179457,4455040,34210.0,496565,3115078,574309,1737712,2534022,853297
2019-03-08,1264104,1022672,676176,2285137,867228,251387,144344,902277,1240314,1745360,596629,189188,103724,898502,225916,844756,190499,207932,4592813,37698.0,529664,3355909,800438,1954608,2759001,1084406
2019-03-09,1038365,804344,602141,1882675,728813,201828,136543,794729,1042750,1314569,468608,146745,94741,751534,216956,627262,160221,190753,3549931,33535.0,423516,2794838,795777,1692170,2223196,948754
2019-03-10,725481,607405,459892,1238200,597177,131721,120160,559734,730434,960020,333897,102899,63838,494651,179531,480595,110326,135245,2394944,23641.0,274639,1842001,602649,1192901,1533306,613797
2019-03-11,1109317,817474,569022,2002119,862614,222573,110410,852763,1147885,1587268,541969,162893,87300,782288,160987,852075,166404,176642,4106855,31291.0,474158,2913336,528792,1628782,2417190,780387
2019-03-12,1201825,953772,620280,2172982,914372,235348,125978,923640,1242876,1645676,582258,179185,98034,845035,167590,979700,181881,197965,4531625,38454.0,513831,3206512,595022,1754021,2605452,908722
2019-03-13,1201625,914583,608344,2175638,923882,235642,123690,923099,1247940,1616742,582189,178557,95067,844652,165262,878689,177762,192936,4508440,35254.0,514345,3161939,563534,1729619,2573475,875783
2019-03-14,1133099,888577,578379,2041243,884257,224136,119275,852591,1168406,1553111,564153,164268,87508,803182,161772,753665,171797,182425,4247770,34208.0,471156,2929591,522709,1655202,2371448,789517
2019-03-15,1226314,954439,666525,2191106,969683,237477,139060,959946,1272442,1660939,582747,183118,102224,860404,215223,770989,179840,211007,4445242,35714.0,515885,3213018,631414,1858490,2661533,941767
2019-03-16,1088687,835542,677723,1952390,783436,220516,161146,919233,1184557,1367173,499045,158801,117991,799481,219711,629919,171305,227778,3792401,41207.0,452976,2984368,803373,1815849,2388960,1090365
2019-03-17,788428,620524,534024,1350153,503941,149635,129299,604043,820252,932494,366423,110618,88838,570866,212185,446678,134312,169724,2608153,34320.0,281432,2013420,631522,1383465,1596665,748331
2019-03-18,1162589,1027327,565790,2079169,827812,224176,108950,878563,1170882,1510797,550720,167019,90800,802384,156698,855784,168252,180102,4268282,33048.0,479792,2989948,523969,1641486,2438608,800154
2019-03-19,1229585,1077307,520819,2190714,576254,235004,111152,915258,1252926,1575598,579967,176970,98651,841911,164329,903147,181220,173759,4521116,35393.0,508174,3212993,557273,1712888,2616964,674095
2019-03-20,1278585,1111735,656319,2292674,926615,245431,138211,949982,1300966,1582636,606327,185174,106411,874757,175794,931975,187931,212553,4681091,36743.0,531703,3350608,596626,1823065,2649645,919855
2019-03-21,1164528,1003821,599554,2062579,822379,222060,122984,853281,1164562,1426521,548502,165289,97371,794427,170933,852267,173970,192064,4184412,34145.0,470285,2962832,549733,1662927,2380399,818209
2019-03-22,1113634,957692,631584,1988760,820014,217906,146360,857788,1161761,1372148,536286,164037,103047,775970,204046,809493,170085,205187,3987620,35683.0,458264,2867903,634860,1707272,2366691,903904
2019-03-23,926848,758732,577040,1660982,669083,191095,139872,755717,1017343,1019670,432230,139435,101445,690459,183367,616872,150172,198440,3177445,36922.0,389009,2438703,640858,1501916,1995931,889766
2019-03-24,751511,600401,534522,1277580,536736,151631,135158,616259,824118,776070,363713,111149,89969,550040,192232,484210,132869,175554,2452665,35429.0,290969,1954701,557355,1305497,1591496,705893
2019-03-25,1003194,884659,503624,1803421,742542,192467,103979,747928,1005901,1260627,478773,143179,78800,687059,138016,746072,144964,161573,3654354,27147.0,405824,2489864,424204,1396113,2083527,705806
2019-03-26,1216836,1097536,585589,2158076,886161,229422,116442,902404,1206740,1517468,577507,174630,93272,821988,154894,897560,174386,188431,4397249,33441.0,501874,3049349,503799,1667345,2518361,844518
2019-03-27,1300165,1121023,639538,2314988,950649,246621,136991,963975,1313217,1626244,613351,186216,103436,885267,172202,906157,187983,208599,4707169,36781.0,539671,3258124,556150,1807361,2684079,914846
2019-03-28,1295054,1113408,648036,2295243,951184,246965,136528,956157,1303587,1630869,612201,184594,104822,887896,182007,923404,192862,209777,4680739,37863.0,532100,3260465,579261,1835214,2679127,904449
2019-03-29,1289189,1126179,701798,2331234,966414,259504,161376,995007,1356771,1626735,626466,194061,112140,921694,217608,915072,195862,229325,4710191,39143.0,536640,3285065,680537,1953853,2760707,1017836
2019-03-30,1120526,905702,660877,2033321,825049,234093,153734,893329,1263871,1234411,530367,174376,110117,840192,197036,707987,179358,224407,3880284,41507.0,472381,2941558,698308,1746120,2413333,1001991
