,Zurich,Aargau,Jura,Solothurn,Luzern,Appenzell-Auserrhoden,Basel-Stadt,Schwyz,Uri,Thurgau,Nidwalden,Basel-Landschaft,Zug,Freiburg,Glarus,Schaffhausen,Ticino,Obwalden,Appenzell-Innerrhoden,Neuchatel,Geneve,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-03-10,303828,163288,8540,135887,59804,10167,59201,63480,18851,51267,8767,70145,44410,47148,30844,13826,26234,6007,1609,27875,61054,247708,66555,130435,159148,89469
2019-03-11,636786,287174,14348,216807,99750,16330,81168,75003,13001,87038,11213,91223,79871,80871,30156,26410,33142,7294,2244,45120,100510,394937,58933,179602,294370,92796
2019-03-12,704783,317119,14826,240039,112153,17045,90144,79867,14573,98093,13127,103396,87347,85362,30002,28324,34643,8530,2724,46118,99242,434083,60781,189761,308224,112205
2019-03-13,697452,315315,14620,234912,110375,16887,85529,78266,14679,96219,12008,99646,86220,82541,29243,28270,34950,7978,2278,46763,97740,425924,59244,186125,301183,106928
2019-03-14,671424,301967,14093,229628,108012,16260,82447,76449,14865,92329,12010,96016,84323,80093,29250,27563,33404,8168,2407,45234,96195,403039,58190,181373,293128,96791
2019-03-15,684110,302396,15043,231266,109396,17484,83527,90125,18018,97257,13996,98118,85204,85915,39224,28371,40025,9567,2557,46860,105062,430539,76556,208322,326992,120736
2019-03-16,457849,213781,10817,171569,87853,15050,60540,77976,19065,74206,14471,73241,60112,73372,33156,21800,28693,9657,2806,36053,73893,359920,71643,171778,232658,141050
2019-03-17,336938,175658,8754,146990,65338,11787,54096,67848,16943,56243,10921,67031,46622,50402,34360,16462,21649,7615,2383,28023,61045,268053,65713,146414,166487,105294
2019-03-18,656202,295184,13705,224137,96719,16092,90244,72709,12536,90436,8686,103650,78497,77424,27808,27264,30104,6544,2276,40939,85672,396517,54591,177796,282748,99498
2019-03-19,695725,314628,14446,237271,104824,17363,94346,70898,13421,94653,8475,110120,84476,79737,27837,28275,20907,6878,2199,42993,85763,422610,56923,183686,296675,94054
2019-03-20,712618,324842,15023,244926,108515,17440,97831,81023,14875,98109,9645,113825,87181,81540,30167,28797,33760,7347,2696,44913,86103,436391,61541,193724,296841,111030
2019-03-21,646314,301417,13943,230547,98989,16375,92310,75641,14378,90564,9025,107096,81551,77025,28989,26726,31258,7000,2296,42191,80467,399157,57163,178844,272478,103267
2019-03-22,583635,269575,14049,208739,95681,15639,84569,81834,18523,85093,9820,97610,76571,75297,33942,24638,33161,7646,2324,39859,76360,382482,68507,183610,262129,121098
2019-03-23,371099,163765,9605,128689,69423,12820,56068,62431,15547,61560,9209,65508,50635,49526,25763,18042,22436,7075,2670,28315,41754,265449,55513,138039,176906,111047
2019-03-24,293236,137995,9175,114874,57957,11663,48514,61701,15932,50824,8516,55603,44196,43636,27997,14763,21086,7090,2298,26895,38735,235083,54838,127443,147823,98770
2019-03-25,547304,251773,12631,192837,83119,13292,80334,63573,12647,76156,7272,92769,69048,66077,23841,22323,28572,5782,1747,35663,70193,331515,47398,147273,234949,86254
2019-03-26,657958,304350,14174,233327,99023,16285,93851,72372,13171,90567,8432,113012,79986,76961,27190,26684,32892,6553,2102,42208,81970,398298,53738,173819,279649,95780
2019-03-27,714177,323913,14494,241659,107637,17261,94686,81030,16129,97448,9396,110694,87504,80523,30368,29059,36265,7139,2361,45477,86983,430164,60786,190781,297484,106616
2019-03-28,707165,327683,14671,250346,110256,17940,96290,82650,16627,98320,9662,112109,88288,82191,31099,28403,36375,7320,2555,45713,89900,437296,62542,193671,303270,107163
2019-03-29,689563,310471,15483,236463,111002,18021,94110,91198,19969,99651,11163,109351,88195,83748,37258,29734,39824,8364,2663,45333,90031,429791,75623,208594,308522,129495
2019-03-30,458128,214893,11561,167420,92145,15864,63509,73636,17257,75193,10433,74915,62101,61716,29655,22663,28060,7993,2984,34516,51100,321345,64253,162170,215032,123923
2019-03-31,362326,181495,10296,149508,70197,13357,57634,71762,17751,61184,9045,65812,52214,53416,31186,19085,25609,6773,2667,30050,49549,288136,59681,145841,174947,107991
2019-04-01,665533,301344,14192,225284,101001,16645,91304,75950,13018,92175,8905,105446,81220,77424,28426,28414,33322,6970,2252,41739,86675,392488,55862,181349,288493,98640
2019-04-02,699217,321940,14493,242466,105438,17692,95564,75768,12281,96861,8750,113146,83838,79764,27353,29725,32874,6734,2513,43616,86247,409993,53578,183791,293811,91651
2019-04-03,698849,319472,14375,239313,102599,17690,96436,75900,12354,96244,8383,111707,82416,75969,28506,28788,32695,6332,2303,42984,85008,402507,55473,187614,285560,85899
