,Luzern,Ticino,Thurgau,Basel-Landschaft,Freiburg,Schwyz,Aargau,Basel-Stadt,Glarus,Obwalden,Geneve,Appenzell-Innerrhoden,Zug,Uri,Appenzell-Ausserrhoden,Zurich,Solothurn,Neuchatel,Jura,Nidwalden,Schaffhausen,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-04-17,959137,792642,666796,765709,726870,501683,1563296,596767,142753,80622,1038016,29381,387260,134940,137729,3124489,924553,376725,137569,173896,191133,2342424,460327,1338633,1858712,773289
2019-04-18,828188,696548,592179,664691,623113,468844,1381599,500930,151109,73063,867557,25921,358757,135065,118442,2709003,802519,316763,122684,155853,167475,1986760,468305,1233283,1615112,679396
2019-04-19,894970,886533,623100,636859,654212,567971,1346507,462018,184371,94400,785355,43310,381038,189772,147439,2498812,833209,310211,132631,203244,191675,2060253,578137,1366581,1676314,948868
2019-04-20,1015470,822035,713216,713468,727312,556490,1571685,529075,162219,97026,854812,41832,394166,147625,156763,2893537,908915,384157,143654,209688,207243,2460508,592585,1453808,1894250,872332
2019-04-21,847488,658753,620526,589608,623267,523805,1308968,406573,168618,89146,653682,44609,357517,135768,148050,2307827,809291,304408,128242,189173,180013,2070709,511904,1287787,1521691,685302
2019-04-22,876348,631614,632295,619011,686721,539887,1336867,444384,179939,89739,696037,41462,370064,147520,145115,2315988,835657,334931,127601,188965,178835,2090699,507063,1312551,1569442,734855
2019-04-23,868270,625203,617510,702324,629793,455579,1445905,547846,134264,74259,890253,28421,361992,120743,133474,2689392,855626,329031,121630,160915,169951,2169270,418896,1283638,1687394,627999
2019-04-24,869677,584943,650633,704308,633783,467832,1481265,550185,132011,72407,872024,30738,375190,103039,141739,2785492,872076,337476,123886,153393,175295,2218775,398326,1324480,1655642,603537
2019-04-25,901310,641052,667901,744207,664327,471583,1561005,592548,132502,75871,919547,31036,389550,116285,141805,2877591,921931,345930,130080,163449,183691,2288676,393518,1325791,1751202,617982
2019-04-26,911507,657476,657909,771938,705117,472904,1606774,613796,140250,74585,973921,28882,392652,135340,138910,2859404,945126,355092,137017,165501,181530,2404075,400076,1359319,1860384,669817
2019-04-27,979979,770223,697319,766813,705273,516513,1720753,599314,155563,77047,962717,33631,420564,159350,150110,2959469,971224,372206,137185,180476,188992,2440338,439081,1455742,1878343,676107
2019-04-28,711308,620453,502227,563701,539761,400343,1221032,437902,127066,58528,721042,26413,319145,142721,112313,2193529,728802,248633,99966,140468,140468,1786504,351822,1076640,1371172,478485
