,TI,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,UR,VD,VS,ZG,ZH
85,923,175.0,,164.0,178.0,305.0,577.0,364.0,1041.0,314.0,401.0,281.0,172.0,386.0,282.0,203.0,155.0,96.0,152.0,182.0,127.0,,689.0,549.0,134.0,229.0
86,925,175.0,,164.0,178.0,305.0,577.0,364.0,1041.0,314.0,402.0,281.0,172.0,386.0,282.0,203.0,155.0,96.0,152.0,182.0,128.0,,689.0,550.0,134.0,229.0
87,925,175.0,,164.0,179.0,305.0,577.0,364.0,1042.0,314.0,402.0,281.0,172.0,386.0,282.0,,155.0,,152.0,182.0,128.0,,690.0,550.0,134.0,229.0
88,925,175.0,,164.0,179.0,305.0,577.0,364.0,1042.0,,402.0,281.0,172.0,386.0,282.0,,155.0,,152.0,182.0,128.0,,690.0,551.0,134.0,229.0
89,925,175.0,,164.0,179.0,305.0,577.0,364.0,1042.0,,402.0,281.0,172.0,387.0,,,155.0,,153.0,182.0,128.0,,690.0,552.0,134.0,229.0
90,926,175.0,,164.0,179.0,305.0,577.0,364.0,1043.0,,402.0,283.0,172.0,387.0,,,155.0,,153.0,182.0,128.0,,691.0,552.0,134.0,229.0
91,926,176.0,,164.0,179.0,306.0,578.0,364.0,1043.0,,402.0,284.0,172.0,387.0,,,155.0,,153.0,182.0,128.0,,691.0,552.0,134.0,230.0
92,927,176.0,,164.0,179.0,306.0,578.0,364.0,1044.0,,402.0,284.0,172.0,387.0,,,155.0,,,182.0,128.0,,691.0,552.0,134.0,230.0
93,927,177.0,,,179.0,306.0,578.0,364.0,1045.0,,402.0,284.0,172.0,387.0,,,155.0,,,182.0,,,692.0,552.0,134.0,231.0
94,928,177.0,,,179.0,306.0,578.0,365.0,1046.0,,402.0,284.0,,387.0,,,155.0,,,182.0,,,692.0,553.0,134.0,231.0
95,929,177.0,,,179.0,306.0,578.0,365.0,1046.0,,402.0,284.0,,387.0,,,,,,,,,692.0,553.0,134.0,231.0
96,929,177.0,,,180.0,307.0,578.0,365.0,1046.0,,402.0,284.0,,,,,,,,,,,692.0,553.0,,231.0
97,929,177.0,,,180.0,307.0,579.0,,1047.0,,403.0,284.0,,,,,,,,,,,692.0,553.0,,231.0
98,929,178.0,,,180.0,307.0,579.0,,1047.0,,403.0,284.0,,,,,,,,,,,693.0,,,231.0
99,929,178.0,,,,307.0,579.0,,1047.0,,403.0,284.0,,,,,,,,,,,693.0,,,231.0
100,929,178.0,,,,,,,,,,,,,,,,,,,,,,,,
101,929,,,,,,,,,,,,,,,,,,,,,,,,,
