date,canton_name,total_trips,dataset,train_trips,road_trips,highway_trips,commuter_trips,non_commuter_trips
2019-01-07,Appenzell-Ausserrhoden,160538,2019,15449,135911,9190,40804,119746
2019-01-07,Nidwalden,171233,2019,11036,98775,61434,43034,128212
2019-01-07,Zurich,4039595,2019,613103,2929985,496515,1208078,2831525
2019-01-07,Appenzell-Innerrhoden,31070,2019,2080,27956,1042,6838,24241
2019-01-07,Neuchatel,437321,2019,35567,345779,55987,123613,313720
2019-01-07,Bern,2803158,2019,365775,2034614,402785,749899,2053276
2019-01-07,Graubunden,484120,2019,49367,361423,73351,100556,383585
2019-01-07,Sankt-Gallen,1566998,2019,168870,1049197,348952,398282,1168739
2019-01-07,Waadt,2263897,2019,255656,1551390,456870,609111,1654806
2019-01-07,Wallis,773246,2019,86918,568627,117720,161616,611652
2019-01-08,Solothurn,1102028,2019,206785,625833,269420,286371,815667
2019-01-08,Basel-Landschaft,1011974,2019,97416,714875,199696,286581,725406
2019-01-08,Schwyz,528799,2019,67125,320102,141583,132650,396159
2019-01-08,Aargau,2016496,2019,280385,1282398,453724,547579,1468930
2019-01-08,Ticino,787626,2019,28719,643696,115223,207166,580472
2019-01-08,Schaffhausen,217409,2019,25521,186109,5791,56286,161135
2019-01-08,Uri,97004,2019,9879,53116,34018,19147,77867
2019-01-08,Freiburg,805331,2019,68958,593145,143236,199797,605543
2019-01-08,Luzern,1127121,2019,94827,785630,246673,305379,821751
2019-01-08,Geneve,1414946,2019,74542,1238788,101625,446692,968264
2019-01-08,Zug,536531,2019,75470,311609,149463,167255,369287
2019-01-08,Jura,155886,2019,12722,137449,5725,40710,115186
2019-01-08,Obwalden,81470,2019,6759,65791,8930,19974,61507
2019-01-08,Thurgau,767442,2019,86164,544906,136385,193118,574337
2019-01-08,Glarus,135600,2019,25247,60552,49812,29417,106195
2019-01-08,Basel-Stadt,846470,2019,82849,652391,111240,265967,580513
2019-01-08,Appenzell-Ausserrhoden,167119,2019,16067,141103,9959,41508,125622
2019-01-08,Nidwalden,165434,2019,10771,94017,60653,41709,123733
2019-01-08,Zurich,4151830,2019,638464,2994335,519041,1221250,2930591
2019-01-08,Appenzell-Innerrhoden,32113,2019,2088,28932,1102,6971,25151
2019-01-08,Neuchatel,445579,2019,36383,351178,58028,124353,321236
2019-01-08,Bern,2842052,2019,372467,2051056,418551,755622,2086454
2019-01-08,Graubunden,451807,2019,47738,337867,66226,96542,355289
2019-01-08,Sankt-Gallen,1566244,2019,168896,1050002,347367,395147,1171120
2019-01-08,Waadt,2269139,2019,252953,1549302,466906,608029,1661132
2019-01-08,Wallis,716834,2019,77305,524842,114706,157785,559069
2019-01-09,Solothurn,1112177,2019,212894,626971,272323,278734,833454
2019-01-09,Basel-Landschaft,1014561,2019,99591,714063,200919,280161,734412
2019-01-09,Schwyz,541276,2019,71330,329033,140923,129407,411879
2019-01-09,Aargau,2064090,2019,289381,1312626,462095,535470,1528631
2019-01-09,Ticino,791797,2019,29642,647372,114793,202195,589613
2019-01-09,Schaffhausen,218857,2019,25871,187051,5942,54736,164130
2019-01-09,Uri,95905,2019,10325,51912,33680,18361,77556
2019-01-09,Freiburg,802353,2019,70677,592495,139195,193106,609261
2019-01-09,Luzern,1148821,2019,97994,802339,248500,298676,850157
2019-01-09,Geneve,1406976,2019,73750,1232941,100292,423142,983842
2019-01-09,Zug,545963,2019,77711,317838,150426,164303,381672
2019-01-09,Jura,154890,2019,13011,136236,5651,39386,115513
2019-01-09,Obwalden,81802,2019,7070,66146,8595,19399,62413
2019-01-09,Thurgau,778506,2019,89607,552431,136478,188644,589873
2019-01-09,Glarus,136350,2019,26786,59787,49788,28345,108017
2019-01-09,Basel-Stadt,844865,2019,83980,650543,110352,259738,585138
2019-01-09,Appenzell-Ausserrhoden,167806,2019,16987,141275,9553,40116,127700
2019-01-09,Nidwalden,167155,2019,11125,95940,60100,40519,126646
2019-01-09,Zurich,4248669,2019,654307,3070644,523729,1199577,3049103
2019-01-09,Appenzell-Innerrhoden,33085,2019,2350,29765,983,6804,26294
2019-01-09,Neuchatel,452342,2019,37569,355581,59204,119690,332665
2019-01-09,Bern,2845906,2019,379820,2051850,414254,730671,2115255
2019-01-09,Graubunden,431393,2019,49950,319605,61858,92047,339367
2019-01-09,Sankt-Gallen,1579547,2019,176536,1060589,342442,385377,1194191
2019-01-09,Waadt,2269039,2019,255181,1556514,457367,583480,1685584
2019-01-09,Wallis,694545,2019,74589,510465,109513,150161,544407
2019-01-10,Solothurn,1150042,2019,227535,641420,281099,288110,861944
2019-01-10,Basel-Landschaft,1039034,2019,107595,722545,208901,285089,753954
2019-01-10,Schwyz,549302,2019,75709,327694,145909,131021,418292
2019-01-10,Aargau,2083289,2019,307544,1307427,468328,545059,1538241
2019-01-10,Ticino,822825,2019,30771,671579,120486,208309,614529
2019-01-10,Schaffhausen,219400,2019,27429,186009,5973,55770,163642
2019-01-10,Uri,101600,2019,11477,55327,34805,18934,82675
2019-01-10,Freiburg,840824,2019,75263,616153,149419,199906,640928
2019-01-10,Luzern,1160677,2019,102636,806142,251912,304543,856148
2019-01-10,Geneve,1484040,2019,79732,1294255,110063,453204,1030847
2019-01-10,Zug,554461,2019,81620,319425,153426,166931,387541
2019-01-10,Jura,160260,2019,13647,140666,5959,41020,119252
2019-01-10,Obwalden,85050,2019,7242,68755,9062,19987,65073
2019-01-10,Thurgau,756133,2019,94334,531953,129856,187567,568576
2019-01-10,Glarus,147371,2019,28957,62539,55885,30182,117201
2019-01-10,Basel-Stadt,876211,2019,91804,669532,114887,266421,609802
2019-01-10,Appenzell-Ausserrhoden,156561,2019,17242,130503,8827,39203,117370
2019-01-10,Nidwalden,171656,2019,11674,97820,62174,41567,130102
